hash,author,date,description
b32574a,Ayaz Salikhov,Mon Jun 21 19:37:40 2021 +0300,Merge pull request #1379 from mathbunnyru/asalikhov/docs_long_lines
532bf47,Ayaz Salikhov,Mon Jun 21 19:35:44 2021 +0300,Fix comma
b15efdc,Ayaz Salikhov,Mon Jun 21 19:34:44 2021 +0300,Fix markdown
4a8ca96,Ayaz Salikhov,Mon Jun 21 19:25:51 2021 +0300,Revert rst changes
334381d,Ayaz Salikhov,Mon Jun 21 12:59:21 2021 +0300,Limit markdown line length to 200
34992fe,Ayaz Salikhov,Mon Jun 21 09:06:54 2021 +0300,Merge pull request #1374 from mathbunnyru/asalikhov/docs_build_process
28f4035,Ayaz Salikhov,Sun Jun 20 23:51:21 2021 +0300,Merge branch 'master' into asalikhov/docs_build_process
7db544f,Ayaz Salikhov,Sun Jun 20 20:56:00 2021 +0300,Merge pull request #1376 from mathbunnyru/asalikhov/main_branch
51bdba9,Ayaz Salikhov,Sun Jun 20 20:17:25 2021 +0300,Merge pull request #1375 from mathbunnyru/asalikhov/up_miniforge
122fdd8,Ayaz Salikhov,Sun Jun 20 19:54:10 2021 +0300,Fix
c650161,Ayaz Salikhov,Sun Jun 20 19:52:10 2021 +0300,Make github actions work for main branch
a02160f,Ayaz Salikhov,Sun Jun 20 19:45:23 2021 +0300,Update miniforge
fe46e81,Ayaz Salikhov,Sun Jun 20 19:05:40 2021 +0300,Make docs build process less obscure
e202749,Ayaz Salikhov,Sun Jun 20 09:47:26 2021 +0300,Merge pull request #1373 from weisdd/feature/openssh-client
60b9bbb,Igor Beliakov,Sat Jun 19 08:25:00 2021 +0300,Added openssh-client
04ec7b7,Erik Sundell,Fri Jun 18 16:34:51 2021 +0200,Merge pull request #1370 from mathbunnyru/asalikhov/update_ubuntu
75d38a8,Ayaz Salikhov,Fri Jun 18 16:51:17 2021 +0300,Merge pull request #1371 from mathbunnyru/asalikhov/update_r_libs
c36dd78,Ayaz Salikhov,Fri Jun 18 16:17:32 2021 +0300,Update r-rmarkdown
b5bfff8,Ayaz Salikhov,Fri Jun 18 16:06:50 2021 +0300,Update ubuntu
ebd78a1,Erik Sundell,Mon Jun 14 22:32:09 2021 +0200,Merge pull request #1367 from mathbunnyru/asalikhov/fix_hadolint_version
b5351a7,Ayaz Salikhov,Mon Jun 14 21:44:23 2021 +0300,Fix hadolint docker version
5d3c150,Erik Sundell,Mon Jun 14 20:06:15 2021 +0200,Merge pull request #1366 from jupyter/pre-commit-ci-update-config
015f716,pre-commit-ci[bot],Mon Jun 14 17:46:32 2021 +0000,[pre-commit.ci] pre-commit autoupdate
6e3490c,Ayaz Salikhov,Mon Jun 14 16:23:34 2021 +0300,Merge pull request #1354 from mathbunnyru/asalikhov/strict_python_version
5d91bd0,Ayaz Salikhov,Mon Jun 14 16:14:08 2021 +0300,Merge pull request #1364 from mathbunnyru/asalikhov/fix_after_merge
90e43db,Ayaz Salikhov,Mon Jun 14 15:36:08 2021 +0300,Small docs fix
38b616f,Ayaz Salikhov,Mon Jun 14 15:31:57 2021 +0300,Merge pull request #1328 from mathbunnyru/asalikhov/modern_issue_template
7bc02c4,Ayaz Salikhov,Mon Jun 14 15:29:25 2021 +0300,Merge pull request #1363 from mathbunnyru/asalikhov/massive_update
7b37074,Ayaz Salikhov,Mon Jun 14 15:13:05 2021 +0300,Update cookiecutter instruction because of project changes
4f09473,Ayaz Salikhov,Sun Jun 13 21:34:35 2021 +0300,Merge branch 'master' into asalikhov/modern_issue_template
5f02332,Ayaz Salikhov,Sun Jun 13 21:34:06 2021 +0300,Merge branch 'master' into asalikhov/strict_python_version
982fec6,GitHub Actions,Sun Jun 13 17:49:48 2021 +0000,[ci skip] Automated publish for 4a6f5b7e5db11f7e97530638edc73320f2809a06
4a6f5b7,Ayaz Salikhov,Sun Jun 13 20:49:11 2021 +0300,Merge pull request #1362 from mathbunnyru/asalikhov/github_wording
17c249e,Ayaz Salikhov,Sun Jun 13 20:17:35 2021 +0300,Improve wording in GitHub workflows
7dd516c,Ayaz Salikhov,Sun Jun 13 07:27:06 2021 +0300,Merge pull request #1361 from mathbunnyru/asalikhov/updates
b939948,Ayaz Salikhov,Sun Jun 13 00:22:22 2021 +0300,Update packages
752486c,Ayaz Salikhov,Sat Jun 12 16:17:21 2021 +0300,Merge pull request #1319 from mathbunnyru/asalikhov/update
6cd8247,Ayaz Salikhov,Sat Jun 12 12:51:57 2021 +0300,Merge branch 'master' into asalikhov/update
7291526,Ayaz Salikhov,Sat Jun 12 12:49:14 2021 +0300,Merge pull request #1351 from mathbunnyru/asalikhov/use_mamba
155283a,Ayaz Salikhov,Wed Jun 9 01:13:12 2021 +0300,Revert "Test commit to dismiss review"
4d5ce31,Ayaz Salikhov,Wed Jun 9 01:04:37 2021 +0300,Test commit to dismiss review
81a0369,Ayaz Salikhov,Tue Jun 8 09:33:18 2021 +0300,Merge pull request #1360 from jupyter/pre-commit-ci-update-config
9c5a874,pre-commit-ci[bot],Tue Jun 8 01:57:31 2021 +0000,[pre-commit.ci] pre-commit autoupdate
4befdd5,Ayaz Salikhov,Mon Jun 7 23:05:26 2021 +0300,Merge branch 'master' into asalikhov/use_mamba
7853778,Ayaz Salikhov,Mon Jun 7 23:04:57 2021 +0300,Merge branch 'master' into asalikhov/modern_issue_template
b964b90,Ayaz Salikhov,Mon Jun 7 23:04:34 2021 +0300,Merge branch 'master' into asalikhov/update
cbdc85a,Ayaz Salikhov,Mon Jun 7 23:03:33 2021 +0300,Merge branch 'master' into asalikhov/strict_python_version
587009a,GitHub Actions,Mon Jun 7 20:00:49 2021 +0000,[ci skip] Automated publish for 396024a4ddc1021cc8fbf2452f070cb09cbcb53b
396024a,Ayaz Salikhov,Mon Jun 7 23:00:11 2021 +0300,Merge pull request #1335 from mathbunnyru/asalikhov/unify_bash_variables
7642ba8,Ayaz Salikhov,Mon Jun 7 18:30:26 2021 +0300,Update base-notebook/Dockerfile
04fe694,Erik Sundell,Mon Jun 7 14:34:04 2021 +0200,Merge pull request #1357 from mathbunnyru/asalikhov/rearrange_readme
9a79c72,Ayaz Salikhov,Mon Jun 7 10:54:53 2021 +0300,Merge pull request #1359 from mathbunnyru/asalikhov/replace_password_with_token
14e2b08,Ayaz Salikhov,Sun Jun 6 23:45:15 2021 +0300,Revert "Test commit to dismiss review"
ea1a3ea,Ayaz Salikhov,Sun Jun 6 23:44:32 2021 +0300,Test commit to dismiss review
415ae85,Ayaz Salikhov,Sun Jun 6 23:43:09 2021 +0300,Merge branch 'master' into asalikhov/update
fded71f,Ayaz Salikhov,Sun Jun 6 23:36:04 2021 +0300,Use DOCKERHUB_TOKEN secret name instead of DOCKERHUB_PASSWORD
2492e8b,Ayaz Salikhov,Sat Jun 5 00:43:21 2021 +0300,Merge pull request #1358 from Bidek56/master
3b5b735,Darek,Fri Jun 4 15:02:52 2021 +0000,Upgrading spark_version->3.1.2
7f063ae,Ayaz Salikhov,Fri Jun 4 12:15:11 2021 +0300,Put quick start first in README.md
ca70587,Ayaz Salikhov,Fri Jun 4 12:13:23 2021 +0300,Merge branch 'master' into asalikhov/use_mamba
4a86aad,Ayaz Salikhov,Fri Jun 4 00:18:22 2021 +0300,Merge branch 'master' into asalikhov/update
95da54e,GitHub Actions,Wed Jun 2 21:19:57 2021 +0000,[ci skip] Automated publish for 4c5e2cfc722eebc217962a05ba438c086e2752ab
4c5e2cf,Romain,Wed Jun 2 23:19:24 2021 +0200,Merge pull request #1355 from romainx/iss-1334
a79bb52,romainx,Wed Jun 2 21:56:46 2021 +0200,Format variables
327f78d,romainx,Wed Jun 2 21:19:15 2021 +0200,Define Spark Dependencies
b58d834,Ayaz Salikhov,Tue Jun 1 23:38:25 2021 +0300,Fix python version in a strict way
6ab40f0,Ayaz Salikhov,Tue Jun 1 20:30:30 2021 +0300,Use mamba instead of conda in spark images
49d963c,Ayaz Salikhov,Tue Jun 1 17:45:29 2021 +0300,Merge branch 'master' into asalikhov/update
eb2f745,Ayaz Salikhov,Tue Jun 1 17:44:01 2021 +0300,Merge pull request #1348 from mathbunnyru/asalikhov/update_notebook_lab
4063ff8,Ayaz Salikhov,Tue Jun 1 16:58:08 2021 +0300,Merge pull request #1346 from mathbunnyru/asalikhov/use_login_action
7ae0e3d,Ayaz Salikhov,Tue Jun 1 16:18:20 2021 +0300,Update notebook and jupyterlab
4186d8f,Ayaz Salikhov,Tue Jun 1 15:56:35 2021 +0300,Merge pull request #1343 from mathbunnyru/asalikhov/fast_docs_lock
35bf5e5,Ayaz Salikhov,Tue Jun 1 15:48:41 2021 +0300,Use docker/login-action instead of manual docker login
b1f6915,Ayaz Salikhov,Tue Jun 1 15:40:29 2021 +0300,Merge pull request #1344 from mathbunnyru/asalikhov/pre_commit_badge
8bc9e64,Ayaz Salikhov,Tue Jun 1 14:52:46 2021 +0300,Merge pull request #1342 from mathbunnyru/asalikhov/use_latest_python_version
83895a2,Ayaz Salikhov,Tue Jun 1 14:49:20 2021 +0300,Add pre-commit.ci badge
14500dc,Ayaz Salikhov,Tue Jun 1 14:37:24 2021 +0300,Merge branch 'master' into asalikhov/update
5f9a5f5,Ayaz Salikhov,Tue Jun 1 14:14:22 2021 +0300,Clone wiki only for steps which need it
b0e1423,Ayaz Salikhov,Tue Jun 1 13:49:10 2021 +0300,Use python-version: 3.x in github actions
aceb763,Erik Sundell,Tue Jun 1 12:31:27 2021 +0200,Merge pull request #1341 from mathbunnyru/asalikhov/separate_pre_commit
8cc522a,Ayaz Salikhov,Tue Jun 1 13:16:12 2021 +0300,Merge branch 'master' into asalikhov/update
731c123,GitHub Actions,Tue Jun 1 10:15:56 2021 +0000,[ci skip] Automated publish for af07bff38230e18979c2cecf344cde175b50ad7a
af07bff,Ayaz Salikhov,Tue Jun 1 13:15:18 2021 +0300,Merge pull request #1340 from mathbunnyru/asalikhov/vincent_altair
05f9fb7,Ayaz Salikhov,Tue Jun 1 12:29:04 2021 +0300,Run pre-commit in separate workflow
450d016,Ayaz Salikhov,Tue Jun 1 12:13:22 2021 +0300,Replace vincent with altair
3b48501,Ayaz Salikhov,Tue Jun 1 11:57:06 2021 +0300,Merge branch 'master' into asalikhov/update
710cfa5,Ayaz Salikhov,Tue Jun 1 11:55:59 2021 +0300,Merge pull request #1339 from jupyter/pre-commit-ci-update-config
22f2ebc,Ayaz Salikhov,Mon May 31 22:31:59 2021 +0300,Update hadolint version in second place
255be23,pre-commit-ci[bot],Mon May 31 17:37:14 2021 +0000,[pre-commit.ci] pre-commit autoupdate
1a0c93e,Ayaz Salikhov,Sat May 29 17:37:45 2021 +0300,Update miniforge
8cf181a,Ayaz Salikhov,Sat May 29 17:36:17 2021 +0300,Merge branch 'master' into asalikhov/update
2863343,Ayaz Salikhov,Sat May 29 17:31:51 2021 +0300,Merge branch 'master' into asalikhov/unify_bash_variables
d0bfe4b,Ayaz Salikhov,Sat May 29 17:29:54 2021 +0300,Merge pull request #1338 from mathbunnyru/asalikhov/setup_pre_commit_ci
da3fc70,Ayaz Salikhov,Sat May 29 15:27:30 2021 +0300,Skip hadolint-docker in pre-commit.ci
ab7683e,Ayaz Salikhov,Sat May 29 15:21:47 2021 +0300,Merge pull request #1331 from tbluejeans/new-delta-release
97de61d,Tony,Sat May 29 14:07:48 2021 +0200,Update docs/using/recipes.md
0999f1a,Ayaz Salikhov,Wed May 26 13:06:10 2021 +0300,Unify bash variables usage and add quotes where needed
e9301f4,GitHub Actions,Tue May 25 13:29:39 2021 +0000,[ci skip] Automated publish for 65c71a9970428815c8b9b710b3efb0cf07e4c5a1
65c71a9,Ayaz Salikhov,Tue May 25 16:28:58 2021 +0300,Merge pull request #1332 from mathbunnyru/asalikhov/update_install_packages
ccebe16,Ayaz Salikhov,Tue May 25 14:34:02 2021 +0300,More installation updates
e4f41dd,Ayaz Salikhov,Tue May 25 14:02:26 2021 +0300,Use mamba clean
df1bffc,Ayaz Salikhov,Tue May 25 13:59:04 2021 +0300,Merge branch 'master' into asalikhov/update
7942cb1,Ayaz Salikhov,Tue May 25 13:58:33 2021 +0300,Update docs on installing packages
e02f8e1,Antony Neu,Tue May 25 11:56:40 2021 +0200,updated
5405a12,Erik Sundell,Sun May 23 23:22:35 2021 +0200,Merge pull request #1329 from mathbunnyru/asalikhov/add_copy_button
708e625,Ayaz Salikhov,Sun May 23 23:47:26 2021 +0300,Add copy button to the docs
aea3dba,Erik Sundell,Sun May 23 22:30:53 2021 +0200,Merge pull request #1321 from mathbunnyru/asalikhov/build_status
c864f44,Ayaz Salikhov,Sun May 23 13:50:19 2021 +0300,Update github workflows
ad87006,Ayaz Salikhov,Sun May 23 22:56:52 2021 +0300,Replace vincent with altair in docs
19cb1cf,Ayaz Salikhov,Sun May 23 22:55:05 2021 +0300,Merge branch 'master' into asalikhov/update
93f331c,GitHub Actions,Sun May 23 19:28:29 2021 +0000,[ci skip] Automated publish for 40eea14955b747537e25be6a4413d61a017663bc
40eea14,Ayaz Salikhov,Sun May 23 22:27:49 2021 +0300,Merge pull request #1326 from mathbunnyru/asalikhov/fix_docs
bb5bd01,Ayaz Salikhov,Sun May 23 15:14:15 2021 +0300,Improve wording
afa7daa,Ayaz Salikhov,Sun May 23 15:12:07 2021 +0300,Update docs to better reflect current state
95c6dad,Ayaz Salikhov,Sun May 23 13:41:54 2021 +0300,Fix
7b6d4eb,Ayaz Salikhov,Sun May 23 13:36:50 2021 +0300,Fix
eb8f32d,Ayaz Salikhov,Sun May 23 13:34:20 2021 +0300,Fix
07d5f0b,Ayaz Salikhov,Sun May 23 13:32:51 2021 +0300,Use new issue templates
4ccf133,GitHub Actions,Sat May 22 21:39:51 2021 +0000,[ci skip] Automated publish for e9993a3292a975ee3b906993becfcff059b1ca41
e9993a3,Ayaz Salikhov,Sun May 23 00:39:24 2021 +0300,Merge pull request #1323 from mathbunnyru/asalikhov/docs_improve
b19ad8b,Ayaz Salikhov,Sun May 23 00:26:34 2021 +0300,Improve docs
8fbb2f7,GitHub Actions,Sat May 22 15:16:38 2021 +0000,[ci skip] Automated publish for 382d2d6bb9d83d3d6a03313673444934fa1e03bf
382d2d6,Erik Sundell,Sat May 22 17:16:04 2021 +0200,Merge pull request #1322 from mathbunnyru/asalikhov/update_tags
7bf833c,Ayaz Salikhov,Sat May 22 16:55:58 2021 +0300,Update tags in documentation
f9db7f6,Ayaz Salikhov,Sat May 22 15:24:06 2021 +0300,Merge branch 'master' into asalikhov/build_status
c281c03,Ayaz Salikhov,Sat May 22 15:23:28 2021 +0300,Merge branch 'master' into asalikhov/update
33add21,Ayaz Salikhov,Sat May 22 15:22:40 2021 +0300,Merge pull request #1320 from mathbunnyru/asalikhov/bash_codestyle
ea13fd2,Ayaz Salikhov,Sat May 22 15:20:10 2021 +0300,Fix
58e1f01,Ayaz Salikhov,Sat May 22 15:17:44 2021 +0300,Fix
d20219c,Ayaz Salikhov,Sat May 22 15:16:14 2021 +0300,Fix
b55468d,Ayaz Salikhov,Sat May 22 15:14:23 2021 +0300,Add build status badge
fb06310,Ayaz Salikhov,Sat May 22 14:43:18 2021 +0300,Use altair and mamba instead of conda
fbceaa9,Ayaz Salikhov,Sat May 22 14:01:01 2021 +0300,Fixes
d65334b,Ayaz Salikhov,Sat May 22 13:42:52 2021 +0300,Align bash codestyle
c9b2485,Ayaz Salikhov,Sat May 22 13:28:26 2021 +0300,Update pre-commit hooks
dc05be8,Ayaz Salikhov,Sat May 22 13:27:19 2021 +0300,Downgrade r-base
b008fe7,Ayaz Salikhov,Sat May 22 13:22:06 2021 +0300,Merge branch 'master' into asalikhov/update
ed559b6,Romain,Sat May 22 07:49:56 2021 +0200,Merge pull request #1290 from consideRatio/pr/cleanup-outdated-arch-builds
7b14917,Ayaz Salikhov,Sat May 22 00:11:22 2021 +0300,Update packages
894df89,Ayaz Salikhov,Fri May 21 19:10:40 2021 +0300,Merge pull request #1317 from mathbunnyru/asalikhov/md_style
3bdaadc,Ayaz Salikhov,Fri May 21 18:27:59 2021 +0300,Merge branch 'master' into asalikhov/md_style
700fcb7,Ayaz Salikhov,Fri May 21 18:27:13 2021 +0300,Merge pull request #1307 from consideRatio/pr/please-autoformatter
641f32d,Ayaz Salikhov,Fri May 21 18:26:21 2021 +0300,Fix markdown codestyle in docs/using/selecting.md
a59a9e6,Erik Sundell,Fri May 21 16:57:33 2021 +0200,Merge pull request #1315 from mathbunnyru/asalikhov/shellcheck
f961906,Ayaz Salikhov,Fri May 21 16:43:05 2021 +0300,Do not comment options
7281a33,Ayaz Salikhov,Fri May 21 16:02:08 2021 +0300,Fix
3130e3b,Ayaz Salikhov,Fri May 21 15:50:15 2021 +0300,Merge branch 'master' into asalikhov/shellcheck
2c8f6cf,Ayaz Salikhov,Fri May 21 15:49:59 2021 +0300,Merge branch 'master' into asalikhov/shellcheck
c0ae562,Ayaz Salikhov,Fri May 21 15:49:49 2021 +0300,Fix all shellcheck warnings
eabfdfe,Erik Sundell,Thu May 6 19:14:55 2021 +0200,Apply suggestion from code review
0120afd,Erik Sundell,Thu May 6 18:57:52 2021 +0200,Remove outdated ppc64le arch support
3e78827,GitHub Actions,Fri May 21 12:38:28 2021 +0000,[ci skip] Automated publish for 4f9d379a74e93ab6ec8b93b116605a9daa149245
4f9d379,Erik Sundell,Fri May 21 14:37:51 2021 +0200,Merge pull request #1314 from mathbunnyru/asalikhov/update_links
66aaa99,Ayaz Salikhov,Fri May 21 14:17:18 2021 +0300,Update links
fd316d5,Erik Sundell,Fri May 21 13:00:42 2021 +0200,Merge pull request #1313 from mathbunnyru/asalikhov/makefile_codestyle
ca2bdfd,Ayaz Salikhov,Fri May 21 13:05:06 2021 +0300,Simplify Makefile
2aa1bc9,Erik Sundell,Fri May 21 11:59:37 2021 +0200,Merge pull request #1311 from mathbunnyru/asalikhov/docs_cleanup
d65306c,Erik Sundell,Fri May 21 11:57:07 2021 +0200,Merge pull request #1312 from mathbunnyru/asalikhov/issue_template_typo
3734d39,Ayaz Salikhov,Thu May 20 15:38:03 2021 +0300,Fix shellcheck warnings
b80d53f,Ayaz Salikhov,Thu May 20 14:21:27 2021 +0300,Fix typo in issue template
c93515e,Ayaz Salikhov,Thu May 20 13:43:23 2021 +0300,Cleanup docs: new svg icon remove old files fix pygments lexer warning
e21fabf,GitHub Actions,Wed May 19 12:30:54 2021 +0000,[ci skip] Automated publish for 8391dae1505176af2ad7a4ccb106cf5e560df528
8391dae,Erik Sundell,Wed May 19 14:30:11 2021 +0200,Merge pull request #1310 from mathbunnyru/asalikhov/broken_links
6ad09a6,Ayaz Salikhov,Wed May 19 14:14:48 2021 +0300,Fix broken links in docs
6b25595,GitHub Actions,Wed May 19 10:55:56 2021 +0000,[ci skip] Automated publish for e0ad6e12d4a7d9f0142b2f1a94c1d36e8ee316fb
e0ad6e1,Ayaz Salikhov,Wed May 19 13:55:13 2021 +0300,Merge pull request #1294 from mathbunnyru/asalikhov/make_markdown_prettier
4bfc362,Ayaz Salikhov,Wed May 19 13:03:01 2021 +0300,Merge branch 'master' into asalikhov/make_markdown_prettier
dc3c44a,Ayaz Salikhov,Wed May 19 12:58:07 2021 +0300,Add prettier and small fix
e6bfab0,GitHub Actions,Wed May 19 09:44:54 2021 +0000,[ci skip] Automated publish for 855a3b9aa2dcdb446ccb3a2cabb22a92b3f22aad
855a3b9,Ayaz Salikhov,Wed May 19 12:44:21 2021 +0300,Merge pull request #1308 from romainx/iss-1306
57c360e,Ayaz Salikhov,Wed May 19 12:42:44 2021 +0300,Merge branch 'master' into asalikhov/make_markdown_prettier
0aabfa4,romainx,Wed May 19 09:35:45 2021 +0200,Fix markdown lint
1c5c2d9,romainx,Wed May 19 09:23:33 2021 +0200,Install tini as an ubuntu package
